"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"566","Nigeria",,"0112","Maize (corn)",2021,2.37259,"2.37259",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2021,4.58573,"4.58573",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2021,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2021,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2021,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2021,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2021,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2021,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2021,0.980316,"0.980316",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2021,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2021,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2021,2.59295,"2.59295",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2021,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2021,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2021,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2021,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2021,1.10317,"1.10317",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2021,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2021,0.793649,"0.793649",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2021?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2020,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2020,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2020,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2020,4.71632,"4.71632",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2020,2.37295,"2.37295",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2020,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2020,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2020,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2020,0.931262,"0.931262",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2020,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2020,2.60406,"2.60406",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2020,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2020,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2020,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2020,1.31595,"1.31595",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2020,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2020,0.851044,"0.851044",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2020,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2020,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2020?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2019,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2019,4.71879,"4.71879",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2019,2.37289,"2.37289",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2019,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2019,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2019,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2019,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2019,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2019,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2019,0.930734,"0.930734",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2019,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2019,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2019,2.60477,"2.60477",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2019,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2019,0.851228,"0.851228",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2019,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2019,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2019,1.31663,"1.31663",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2019,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2019?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2018,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2018,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2018,4.58573,"4.58573",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2018,2.37259,"2.37259",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2018,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2018,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2018,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2018,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2018,0.980316,"0.980316",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2018,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2018,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2018,2.59295,"2.59295",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2018,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2018,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2018,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2018,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2018,0.793649,"0.793649",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2018,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2018,1.10317,"1.10317",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2018?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2017,2.37259,"2.37259",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2017,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2017,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2017,4.58573,"4.58573",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0112","Maize (corn)",2017,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2017,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2017,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2017,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2017,0.980316,"0.980316",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0113","Rice",2017,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2017,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2017,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2017,2.59295,"2.59295",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0114","Sorghum",2017,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2017,1.10317,"1.10317",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2017,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2017,0.793649,"0.793649",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2017,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
"566","Nigeria",,"0118","Millet",2017,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/NG/all-crops/2017?metric=prc&download=csv",
